13th Month-FIRST QUARTER 2025,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SIGNATURE LEDGER,,,,,,,,,,,,,,,
,,EMPLOYEE,,,,,,,,,,,,,
,,,,,DECEMBER,,,JANUARY,,,FEBRUARY,,,TOTAL,
FINANCE DEPARTMENT,,,,,Basic,Basic,13th Month,Basic,Basic,13th Month,Basic,Basic,13th Month,Basic,13th Month
,,,,,,,,,,,,,,,
,,,,SUB TOTAL >>>,"64,693.28 ","65,000.00 ","10,807.77 ","65,000.00 ","65,357.57 ","10,863.13 ","66,210.30 ","66,817.72 ","11,085.67 ","350,927.91 ","32,756.57 "
,,,,,,,,,,,,,,,
GOLF MAINTENANCE,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1,.,Employee V,,,"14,281.15 ","15,000.00 ","2,440.10 ","14,784.31 ","15,450.50 ","2,519.57 ","15,600.00 ","15,600.00 ","2,600.00 ","90,715.96 ","7,559.66 "
2,.,Employee W,,,"10,000.00 ","10,000.00 ","1,666.67 ","10,000.00 ","10,320.00 ","1,693.33 ","10,320.00 ","10,320.00 ","1,720.00 ","60,960.00 ","5,080.00 "
,,,,,,,,,,,,,,,
,,,,SUB TOTAL >>>,"24,281.15 ","25,000.00 ","4,106.76 ","24,784.31 ","25,770.50 ","4,212.90 ","25,920.00 ","25,920.00 ","4,320.00 ","151,675.96 ","12,639.66 "
,,,,,,,,,,,,,,,
HOUSEKEEPING,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1,.,Employee X,,,"6,290.33 ","6,270.24 ","1,046.71 ","6,290.33 ","6,340.66 ","1,052.58 ","6,340.66 ","6,340.66 ","1,056.78 ","37,872.88 ","3,156.07 "
2,.,Employee Y,,,"7,000.00 ","7,000.00 ","1,166.67 ","7,000.00 ","7,224.00 ","1,185.33 ","7,189.38 ","7,224.00 ","1,201.12 ","42,637.38 ","3,553.12 "
3,.,Employee Z,,,"7,000.00 ","7,000.00 ","1,166.67 ","7,000.00 ","7,168.00 ","1,180.67 ","7,168.00 ","7,168.00 ","1,194.67 ","42,504.00 ","3,542.00 "
4,.,Employee AA,,,"7,000.00 ","7,000.00 ","1,166.67 ","6,999.99 ","7,167.99 ","1,180.67 ","7,168.00 ","7,168.00 ","1,194.67 ","42,503.98 ","3,542.00 "
5,.,Employee AB,,,"6,079.32 ","6,290.33 ","1,030.80 ","6,290.34 ","6,441.30 ","1,060.97 ","6,441.30 ","6,441.30 ","1,073.55 ","37,983.89 ","3,165.32 "
,,,,,,,,,,,,,,,
,,,,SUB TOTAL >>>,"33,369.65 ","33,560.57 ","5,577.52 ","33,580.66 ","34,341.95 ","5,660.22 ","34,307.34 ","34,341.96 ","5,720.78 ","203,502.13 ","16,958.51 "
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
FOOD AND BEVERAGES,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1,.,Employee AC,,,"7,500.00 ","7,068.64 ","1,214.05 ","7,500.00 ","7,560.00 ","1,255.00 ","7,487.54 ","7,560.00 ","1,253.96 ","44,676.18 ","3,723.02 "
2,.,Employee AD,,,"8,000.00 ","8,000.00 ","1,333.33 ","8,000.00 ","8,064.00 ","1,338.67 ","8,064.00 ","8,064.00 ","1,344.00 ","48,192.00 ","4,016.00 "
3,.,Employee AE,,,"6,524.74 ","6,524.74 ","1,087.46 ","6,524.74 ","6,524.74 ","1,087.46 ","6,524.74 ","6,524.74 ","1,087.46 ","39,148.44 ","3,262.37 "
4,.,Employee AF,,,"6,524.74 ","6,524.74 ","1,087.46 ","6,524.74 ","6,524.74 ","1,087.46 ","6,524.74 ","6,524.74 ","1,087.46 ","39,148.44 ","3,262.37 "
5,,Employee AG,,,"6,024.44 ","6,024.44 ","1,004.07 ","6,524.74 ","6,524.74 ","1,087.46 ","6,524.74 ","3,022.64 ",795.62 ,"34,645.74 ","2,887.15 "
6,,Employee AH,,,"6,290.33 ","6,290.33 ","1,048.39 ","6,290.33 ","6,441.30 ","1,060.97 ","6,441.30 ","6,441.30 ","1,073.55 ","38,194.89 ","3,182.91 "
7,.,Employee AI,,,"6,524.74 ","6,524.74 ","1,087.46 ","6,524.74 ","6,524.74 ","1,087.46 ","6,524.72 ","6,524.74 ","1,087.46 ","39,148.42 ","3,262.37 "
8,,Employee AJ,,,,,0.00 ,,,0.00 ,,"6,253.00 ",521.08 ,"6,253.00 ",521.08 
,,,,,,,,,,,,,,,
,,,,SUB TOTAL >>>,"47,388.99 ","46,957.63 ","7,862.22 ","47,889.29 ","48,164.26 ","8,004.46 ","48,091.78 ","50,915.16 ","8,250.58 ","289,407.11 ","24,117.26 "
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
HUMAN RESOURCE & DEVELOPMENT,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1,.,Employee AK,,,"7,464.05 ","7,500.00 ","1,247.00 ","7,500.00 ","7,415.08 ","1,242.92 ","7,523.79 ","7,560.00 ","1,256.98 ","44,962.92 ","3,746.91 "
2,.,Employee AL,,,"6,290.33 ","6,290.33 ","1,048.39 ","6,290.34 ","6,340.66 ","1,052.58 ","6,340.66 ","6,340.66 ","1,056.78 ","37,892.98 ","3,157.75 "
3,.,Employee AM,,,"9,616.61 ","10,000.00 ","1,634.72 ","10,000.00 ","9,886.77 ","1,657.23 ","10,080.00 ","10,080.00 ","1,680.00 ","59,663.38 ","4,971.95 "
,,,,,,,,,,,,,,,
,,,,SUB TOTAL >>>,"23,370.99 ","23,790.33 ","3,930.11 ","23,790.34 ","23,642.51 ","3,952.74 ","23,944.45 ","23,980.66 ","3,993.76 ","142,519.28 ","11,876.61 "
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
INTERNAL AUDIT DEPT.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1,.,Employee AN,,,"9,233.22 ","9,233.22 ","1,538.87 ","9,233.23 ","10,092.77 ","1,610.50 ","10,215.46 ","10,190.91 ","1,700.53 ","58,198.81 ","4,849.90 "
,,,,,,,,,,,,,,,
,,,,SUB TOTAL >>>,"9,233.22 ","9,233.22 ","1,538.87 ","9,233.23 ","10,092.77 ","1,610.50 ","10,215.46 ","10,190.91 ","1,700.53 ","58,198.81 ","4,849.90 "
,,,,,,,,,,,,,,,
MEMBERSHIP,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1,.,Employee AO,,,"15,000.00 ","15,000.00 ","2,500.00 ","15,000.00 ","15,331.62 ","2,527.64 ","15,480.00 ","15,479.99 ","2,580.00 ","91,291.61 ","7,607.63 "
,,,,,,,,,,,,,,,
,,,,SUB TOTAL >>>,"15,000.00 ","15,000.00 ","2,500.00 ","15,000.00 ","15,331.62 ","2,527.64 ","15,480.00 ","15,479.99 ","2,580.00 ","91,291.61 ","7,607.63 "
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,GRAND TOTAL >>>,"345,443.49 ","349,313.72 ","57,896.43 ","350,222.29 ","355,654.75 ","58,823.09 ","357,515.48 ","361,041.64 ","59,879.76 ","2,077,040.41 ","176,599.28 "
,,,RNF,,"  207,360.44 ","  210,080.51 ",,"  211,300.59 ","  213,689.92 ",,"  214,398.17 ","  217,899.81 ",,,
,,,SUP,,"  138,083.05 ","  139,233.21 ",,"  138,921.70 ","  141,964.83 ",,"  143,117.31 ","  143,141.83 ",,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,Maintenance,,#REF!,,,DEC,#REF!,,,,
,,,,,Sportsclub,,#REF!,,,JAN,#REF!,,,,
,,,,,Finance ,,#REF!,,,FEB,#REF!,,,,
,,,,,Audit,,"4,849.90",,,TOTAL,#REF!,,,,
,,,,,Housekeeping,,"  16,958.51 ",,,,,,,,
,,,,,Golf operation,,"  32,756.57 ",,,,,,,,
,,,,,Gen. & admin,,"  28,084.49 ",,,,,,,,
,,,,,HR,,"  11,876.61 ",,,,,,,,
,,,,,Membership,,"  7,607.63 ",,,,,,,,
,,,,,FnB,,#REF!,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,1st QUARTER,,#REF!,,,,,,,,
